,year,pop,pop_density,pop_area
0,1950,2499322.0,19.2,130173.02
1,1951,2543130.0,19.5,130416.92
2,1952,2590271.0,19.9,130164.37
3,1953,2640279.0,20.2,130706.88
4,1954,2691979.0,20.6,130678.59
5,1955,2746072.0,21.1,130145.59
6,1956,2801003.0,21.5,130279.21
7,1957,2857867.0,21.9,130496.21
8,1958,2916108.0,22.4,130183.39
9,1959,2970292.0,22.8,130275.96
10,1960,3019233.0,23.2,130139.35
11,1961,3068371.0,23.5,130568.98
12,1962,3126687.0,24.0,130278.62
13,1963,3195779.0,24.5,130439.96
14,1964,3267212.0,25.1,130167.81
15,1965,3337112.0,25.6,130355.94
16,1966,3406417.0,26.1,130514.06
17,1967,3475448.0,26.7,130166.59
18,1968,3546811.0,27.2,130397.46
19,1969,3620655.0,27.8,130239.39
20,1970,3695390.0,28.3,130579.15
21,1971,3770163.0,28.9,130455.47
22,1972,3844801.0,29.5,130332.24
23,1973,3920252.0,30.1,130240.93
24,1974,3995517.0,30.6,130572.45
25,1975,4069437.0,31.2,130430.67
26,1976,4142506.0,31.8,130267.48
27,1977,4215772.0,32.3,130519.26
28,1978,4289658.0,32.9,130384.74
29,1979,4365583.0,33.5,130315.91
30,1980,4444008.0,34.1,130322.82
31,1981,4524628.0,34.7,130392.74
32,1982,4607985.0,35.3,130537.82
33,1983,4691884.0,36.0,130330.11
34,1984,4775836.0,36.6,130487.32
35,1985,4861731.0,37.3,130341.31
36,1986,4950063.0,38.0,130264.82
37,1987,5040984.0,38.7,130257.98
38,1988,5132294.0,39.4,130261.27
39,1989,5223704.0,40.1,130266.93
40,1990,5316176.0,40.8,130298.43
41,1991,5406246.0,41.5,130270.99
42,1992,5492686.0,42.1,130467.6
43,1993,5577434.0,42.8,130313.88
44,1994,5660728.0,43.4,130431.52
45,1995,5743219.0,44.0,130527.7
46,1996,5825145.0,44.7,130316.44
47,1997,5906481.0,45.3,130385.89
48,1998,5987312.0,45.9,130442.53
49,1999,6067758.0,46.5,130489.42
50,2000,6148899.0,47.2,130273.28
51,2001,6230747.0,47.8,130350.36
52,2002,6312407.0,48.4,130421.63
53,2003,6393898.0,49.0,130487.71
54,2004,6475751.0,49.7,130296.8
55,2005,6558176.0,50.3,130381.23
56,2006,6641416.0,50.9,130479.69
57,2007,6725949.0,51.6,130347.85
58,2008,6811597.0,52.2,130490.36
59,2009,6898306.0,52.9,130402.76
60,2010,6985603.0,53.6,130328.41
61,2011,7073125.0,54.2,130500.46
62,2012,7161698.0,54.9,130449.87
63,2013,7250593.0,55.6,130406.35
64,2014,7339013.0,56.3,130355.47
65,2015,7426598.0,57.0,130291.19
66,2016,7513474.0,57.6,130442.26
67,2017,7599822.0,58.3,130357.15
68,2018,7683790.0,58.9,130454.84
69,2019,7764951.0,59.5,130503.38
70,2020,7840953.0,60.1,130465.11
71,2021,7909295.0,60.7,130301.4
